"brand_id","description"
"6","Alfa Romeo"
"8","Aston Martin"
"9","Audi"
"11","Bentley"
"13","BMW"
"14","BMW-Alpina"
"15","Bugatti"
"16","Buick"
"17","Cadillac"
"19","Chevrolet"
"20","Chrysler"
"21","Citroen"
"22","Daewoo"
"23","Daihatsu"
"25","De Tomaso"
"27","Ferrari"
"28","Fiat"
"29","Ford"
"31","Honda"
"33","Hyundai"
"35","Isuzu"
"37","Jaguar"
"38","Jeep"
"39","Kia"
"40","Lada"
"41","Lamborghini"
"42","Lancia"
"43","Lexus"
"44","Lotus"
"45","Maserati"
"46","Mazda"
"47","Mercedes-Benz"
"48","MG"
"50","Mitsubishi"
"51","Morgan"
"52","Nissan"
"53","Oldsmobile"
"54","Opel"
"55","Peugeot"
"56","Pontiac"
"57","Porsche"
"60","Renault"
"61","Rolls-Royce"
"62","Rover"
"63","Saab"
"64","Seat"
"65","Skoda"
"66","SsangYong"
"67","Subaru"
"68","Suzuki"
"70","Toyota"
"71","TVR"
"73","Volvo"
"74","Volkswagen"
"2120","Triumph"
"2151","Plymouth"
"2152","Dodge"
"2153","GMC"
"14882","Iveco"
"14890","Lincoln"
"14979","AC"
"15525","Smart"
"15629","Innocenti"
"15633","Trabant"
"15636","Proton"
"15638","Panther"
"15641","Land Rover"
"15643","Austin"
"15644","Autobianchi"
"15645","Marcos"
"15646","Puch"
"15665","Motos-Bikes"
"15666","Talbot"
"15670","Oldtimer"
"15671","Asia"
"15672","Caravans-Wohnm"
"15673","Mercury"
"15674","HUMMER"
"16253","Trucks-Lkw"
"16326","Trailer-Anhänger"
"16327","Tata"
"16328","Others-Andere"
"16329","Continental"
"16330","De Lorean"
"16332","Polaris"
"16333","DAF"
"16334","Zastava"
"16335","Caterham"
"16336","Wartburg"
"16337","Galloper"
"16338","MINI"
"16339","Donkervoort"
"16340","Vauxhall"
"16341","Pagani"
"16342","Gillet"
"16343","Teener"
"16344","Bertone"
"16345","HDPIC"
"16346","Ginetta"
"16347","Venturi"
"16348","Maybach"
"16349","La Forza"
"16350","Piaggio"
"16351","Wiesmann"
"16352","Aixam"
"16353","Ligier"
"16354","Keinath"
"16355","Infiniti"
"16356","Acura"
"16357","Chatenet"
"16358","YES!"
"16359","Mahindra"
"16360","Dacia"
"16361","Microcar"
"16363","Fun Tech"
"16365","JDM"
"16367","Brilliance"
"16369","Santana"
"16372","Landwind"
"16373","Noble"
"16377","Spyker"
"16378","Artega"
"16379","BYD"
"16380","Corvette"
"16381","China Automobile"
"16382","Great Wall"
"16383","DR Motor"
